pic,name,force,type,bottom,top,stem,factory-lubed,Conduction travel,Total travel,pins,link
kailh/choc-v1/PG1350_choc_v1_white.webp,White,50gf±10gf,Clicky,Black,Transparent,White,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_jade.webp,Jade,50gf±10gf,Clicky (TC),Black,Transparent,Pale green,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_robin.webp,Robin,60gf±10gf,Clicky,Teal,Transparent,Teal,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_pale_blue.webp,Pale Blue,70gf±10gf,Clicky,Black,Transparent,Denim,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_navy.webp,Navy,70gf±10gf,Clicky (TC),Black,Transparent,Navy blue,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_sunset.webp,Sunset,35gf±10gf,Tactile (RS),Black,Smoky orange,Sunset,yes,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_sunrise.webp,Sunrise,40gf±10gf,Tactile (S),Eggplant (deep purple) nylon bottom,Rose translucent (PC),Peach (POM),no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_brown.webp,Brown,50gf±10gf,Tactile,Black,Transparent,Brown,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_burnt_orange.webp,Burnt Orange,70gf±10gf,Tactile,Black,Transparent,Orange,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_light_blue_gchoc.webp,Light Blue (gChoc),20gf±10gf,Linear,Dark blue,Transparent,Light blue,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_pink.webp,Pink,20gf±10gf,Linear,Gray,Transparent,Pink,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_nocturnal.webp,Nocturnal,20gf±10gf,Linear (S),black (nylon),smoked translucent (PC),Black (POM),yes,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_purpz.jpg,Purpz,25gf±10gf,Linear,Smoky gray,Smoky gray,Purple,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_pro_red.webp,Pro Red,35gf±10gf,Linear,Red,Transparent,White,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_twilight.webp,Twilight,35gf±10gf,Linear (S),Grey nylon,Smoked translucent (PC),Sage (light green) (POM),yes,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_crystal_red.webp,Crystal Red,35gf±10gf,Linear,Transparent,Transparent,Red,no,1.5mm±0.5mm,3mm+0/-0.5mm,3,
kailh/choc-v1/PG1350_choc_v1_silver.webp,Silver,40gf±10gf,Linear,Transparent,Transparent,Silver,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_red.webp,Red,50gf±10gf,Linear,Black,Transparent,Red,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_black.jpg,Black,60gf±10gf,Linear,Black,Transparent,Black,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_dark_yellow.webp,Dark Yellow,70gf±10gf,Linear,Black,Transparent,Yellow,no,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_amber.webp,Amber,45±10gf,Linear,White (nylon),Orange (PC),White (POM),yes,1.0mm±0.5mm,3.0mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_cherry_blossom.webp,Cherry Blossom,30gf±10gf,Linear (S),Transparent,Transparent,Cherry Blossom,yes,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_plum_blossom.webp,Plum Blossom,45gf±10gf,Linear (S),Transparent,Transparent,Plum Blossom,yes,1.5mm±0.5mm,3mm+0/-0.5mm,5,
kailh/choc-v1/PG1350_choc_v1_bokeh.webp,Bokeh,50gf±10gf,Linear (S),Purple (nylon),Smoky blue (PC),Red (POM),yes,1.5mm±0.5mm,3mm+0/-0.5mm,5,
